priority,source_id,name,type,role_in_project,access_status,size_or_scale,filekeys_or_download,license_risk,notes,url
1,aihub_71557,뉴스 대본 및 앵커 음성 데이터,actual_news_broadcast_script,main_candidate_for_news_script_benchmark,listed_api_download_requires_dataset_approval,"TL 244MB, VL 28MB, source audio 25GB+202GB","TL=558639; VL=558641; TS split=558636/558637/558638; VS=558640",medium_aihub_terms,"가장 직접적인 뉴스 대본 후보. 우선 라벨링데이터 TL/VL만 받아 text 구조 확인 필요",https://aihub.or.kr/aihubdata/data/view.do?dataSetSn=71557
2,aihub_591,방송 콘텐츠 대본 요약 데이터,actual_broadcast_script,main_candidate_for_general_broadcast_script_benchmark,listed_download_denied_until_approval,"TL 114MB, TS 100MB, VL 14MB, VS 12MB","TL=32781; TS=62043; VL=32783; VS=32784",medium_aihub_terms,"KBS 방송대본, 장르 다양. 현재 API key로 목록 조회 OK, 다운로드는 승인 필요",https://aihub.or.kr/aihubdata/data/view.do?dataSetSn=591
3,aihub_71314,방송콘텐츠 대화체 음성인식 데이터,actual_broadcast_transcript_with_metadata,speaker_dialogue_and_subgroup_extension,listed_api_download_requires_dataset_approval,"label zips 2-42MB per genre; source audio GBs","TL_시사=465448; TL_토론=465452; VL_시사=465464; VL_토론=465468",medium_aihub_terms,"장르별 라벨 zip이 작아 시사/토론부터 받기 좋음. speaker metadata 가능성",https://aihub.or.kr/aihubdata/data/view.do?dataSetSn=71314
4,aihub_463,방송 콘텐츠 대화체 음성인식 데이터,actual_broadcast_transcript_asr,asr_transcript_extension,listed_api_download_requires_dataset_approval,"label zips 28-47MB each, source audio huge","VL=31637; TL1=477500; TL2=477502 ... TL10=477501",medium_aihub_terms,"대형 음성 원천은 피하고 라벨 zip만 우선",https://www.aihub.or.kr/aihubdata/data/view.do?dataSetSn=463
5,aihub_558,텍스트 윤리검증 데이터,ethics_toxicity_dataset,auxiliary_toxic_taxonomy_training_and_prompt_calibration,listed_download_denied_until_approval,"453,340 sentences; TL 33MB, TS 8MB, VL 4MB, VS 1MB","TL=61875; TS=61876; VL=61877; VS=61878",medium_aihub_terms,"HATE/DISCRIMINATION/ABUSE 등 toxic taxonomy 보조 데이터. 방송 데이터는 아님",https://aihub.or.kr/aihubdata/data/view.do?dataSetSn=558
6,data_go_3034155,방송미디어통신위원회 심결정보,regulatory_decision_metadata,regulatory_background_and_possible_case_index,downloaded,"856 rows CSV",downloaded_csv,low_public_data,"내용 자체는 통신/행정 심결 중심이라 방송대본 benchmark 원문은 아님. 심의/제재 문서 후보 추적용",https://www.data.go.kr/data/3034155/fileData.do?recommendDataYn=Y
7,law_broadcasting_act,방송법 제6조,law_policy_guideline,annotation_guideline_basis,public,"current law",web,low_public_law,"공정성/객관성 및 성별·연령·직업·종교·계층·지역·인종 등 차별 금지 근거",https://www.law.go.kr/lsInfoP.do?lsId=000794
8,law_broadcast_review_rule,방송심의에 관한 규정,review_guideline,annotation_guideline_basis,public,"administrative rule",web,low_public_law,"방송심의 세부 기준. 인권보호/양성평등/객관성 등 context label 기준",https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2200000076849
9,nhrc_hate_guide_2024,국가인권위원회 혐오표현 대항 안내서,hate_speech_guideline,taxonomy_and_annotation_basis,public,"2024 guide",web,low_public_report,"여성/장애/재난피해자/이슬람/성소수자 혐오 등 범주 보강",https://www.humanrights.go.kr/base/board/read?boardManagementNo=17&boardNo=7610240&menuLevel=3&menuNo=115&page=1&searchCategory=&searchType=total&searchWord=
10,mbc_public_news,MBC 뉴스 공개 transcript,public_broadcast_transcript,pilot_internal_validation,prototype_built,"23 segments currently",url_manifest_only,high_copyright_internal_only,"내부 pilot과 demo용. raw text 재배포 금지",https://imnews.imbc.com/
